IPI00552663	"- G-protein coupled receptor"	Receptors	GPCR;Adhesion	Valid	8	0	i9-28o592-611i632-652o658-688i700-725o749-771i798-817o823-846i	8	5-27,583-605,629-651,667-689,704-726,750-771,792-814,824-846	8	i9-28o594-616i629-651o671-693i700-722o749-771i792-814o824-846i
IPI00786862	"BAI1 similar to Brain-specific angiogenesis inhibitor 1 precursor"	Receptors	GPCR;Adhesion	Valid	7	Y	n13-24c36/37o961-982i994-1013o1025-1043i1064-1083o1103-1126i1147-1169o1175-1199i	8	10-32,924-946,956-978,984-1006,1028-1046,1068-1090,1110-1131,1141-1162	6	o924-946i958-980o985-1007i1029-1048o1068-1090i1111-1133o
IPI00746807	"BAI2 brain-specific angiogenesis inhibitor 2"	Receptors	GPCR;Adhesion	Valid	8	Y	n16-27c32/33o936-957i969-990o1002-1026i1038-1056o1076-1103i1124-1142o1154-1174i1181-1201o	9	10-32,903-925,936-958,969-991,1006-1023,1045-1067,1091-1113,1122-1144,1149-1171	8	o904-926i935-957o972-994i1006-1025o1045-1067i1088-1110o1120-1142i1149-1171o
IPI00028448	"BAI3 Brain-specific angiogenesis inhibitor 3 precursor"	Receptors	GPCR;Adhesion	Valid	8	0	i7-25o879-901i913-931o943-961i982-1001o1021-1044i1099-1120o1126-1150i	8	2-24,879-901,910-931,941-963,983-1001,1023-1045,1099-1121,1128-1150	8	i7-29o881-903i912-930o940-962i983-1002o1022-1044i1096-1118o1128-1150i
IPI00397229	"CD97 Isoform 1 of CD97 antigen precursor"	Receptors	GPCR;Adhesion	Valid	7	Y	n5-15c20/21o553-572i584-601o621-642i654-674o694-716i737-760o766-789i	7	536-558,561-583,597-619,633-654,674-696,716-738,747-769	7	o533-555i562-581o596-618i631-653o673-695i715-737o747-769i
IPI00874160	"CELSR1 Uncharacterized protein CELSR1"	Receptors	GPCR;Adhesion	Valid	7	Y	n8-21c29/30o2470-2493i2505-2523o2529-2551i2572-2592o2612-2632i2653-2675o2681-2704i	6	2454-2476,2501-2523,2542-2563,2585-2607,2622-2644,2654-2676	7	o2442-2464i2477-2496o2500-2522i2544-2563o2583-2605i2621-2643o2653-2675i
IPI00015346	"CELSR2 Cadherin EGF LAG seven-pass G-type receptor 2 precursor"	Receptors	GPCR;Adhesion	Valid	7	Y	n17-25c31/32o2379-2401i2413-2429o2435-2459i2480-2500o2520-2541i2562-2583o2589-2612i	7	2347-2369,2383-2405,2407-2429,2448-2469,2489-2511,2531-2553,2564-2585	7	o2348-2370i2383-2402o2406-2428i2449-2468o2488-2510i2527-2549o2559-2581i
IPI00848229	"ELTD1 EGF, latrophilin and seven transmembrane domain-containing protein 1 precursor"	Receptors	GPCR;Adhesion	Valid	7	Y	n4-14c19/20o433-453i465-484o496-523i535-556o571-594i620-640o646-667i	9	273-295,388-410,414-436,442-463,476-498,513-533,554-576,596-618,626-648	7	o412-434i447-466o481-503i515-537o552-574i600-622o626-648i
IPI00409743	"EMR1 cDNA FLJ75356, highly similar to Homo sapiens egf-like module containing, mucin-like, hormone receptor-like 1 (EMR1), mRNA"	Receptors	GPCR;Adhesion	Valid	7	Y	n6-14c22/23o600-625i637-656o668-692i713-731o751-779i799-821o827-850i	7	562-584,588-610,617-637,647-669,687-709,729-751,806-828	7	o581-603i615-634o649-671i691-713o728-750i781-803o807-829i
IPI00873270	"EMR2 92 kDa protein"	Receptors	GPCR;Adhesion	Valid	7	0	o560-583i595-612o624-648i668-686o706-732i752-774o780-803i	8	68-89,560-582,592-614,623-645,668-689,712-733,756-778,784-806	7	o560-582i595-612o627-649i670-692o707-729i760-777o781-803i
